user_score;publisher;title;genre;score;release
;;Abalone;;;Apr 23, 2014
;;Abandoned;;;Jul 22, 2015
;;Abandoned: Chestnut Lodge Asylum;;;Sep 24, 2015
;Overtime Sports;ABC Monday Night Football;Sports,Traditional,Football,Sim,Sim;;Sep 30, 1996
;ABC Interactive;ABC Monday Night Football '98;Sports,Traditional,Football,Sim;;Sep 30, 1997
;;ABD: A Beautiful Day;;;Aug 14, 2015
;;Abducted;;;Jul 28, 2015
;;Abduction Action! Plus;;;Sep 1, 2015
;;Aberoth;;;Jul 17, 2015
;Eidos Interactive;Abomination;Strategy,Real-Time,Sci-Fi,Sci-Fi;;Oct 31, 1999
;;Abomination Tower;;;Feb 13, 2015
;;Aborigenus;;;Jun 10, 2015
;;About Death, Hope and Love;;;Mar 4, 2015
;;About Love, Hate and the other ones;;;Dec 12, 2014
;;About to Blow Up Part 1;;;Jun 19, 2012
;Activision;Abra Academy;Miscellaneous,Puzzle,General;;Feb 15, 2008
;;Absconding Zatwor;;;Jul 6, 2015
;;Absent;;;Jun 2, 2014
;;Absolute Blue;;;Oct 12, 2005
;;Absolute Drift;;66;Jul 29, 2015
;;Absolute Obedience / Enzai Bundle Pack;;;Dec 5, 2012
;;Abundante!;;;Feb 8, 2008
7.5;Electronic Arts;Abuse;Action,General,General;;Feb 29, 1996
7.3;;Abyss Odyssey;;69;Jul 15, 2014
;;Abyss Raiders: Uncharted;;;Apr 30, 2015
5.0;;Abyss: The Wraiths of Eden;;;Apr 3, 2014
;ValuSoft;AC-130: Operation Devastation;Action,Shooter,Rail,Shooter,Rail;;Jan 26, 2009
;;Academagia: The Making of Mages;;;Aug 13, 2010
;;Academy of Magic: Word Spells;;;Oct 17, 2005
;;Acceleration of SUGURI X-Edition;;;Jun 25, 2012
;;Accidental Runner;;;Apr 7, 2015
;;ACE Academy;;;Sep 3, 2015
6.0;Namco Bandai Games;Ace Combat Assault Horizon: Enhanced Edition;Action,Simulation,Flight,Flight,Combat;77;Jan 24, 2013
5.1;;Ace of Spades;;49;Dec 12, 2012
;;Ace on Steroids;;;Mar 29, 2012
4.8;Wicked Interactive;Ace Online;Role-Playing,Sci-Fi,MassivelyMultiplayerOnline,Sci-Fi;;Aug 28, 2008
8.2;7th Level;Ace Ventura;Adventure,General,General;;Oct 31, 1996
;Hi-Tech;Aces High II;Simulation,Flight,WWII,Combat;;Jan 2, 2000
;Sierra Online;Aces of the Galaxy;Action,Shooter,Sci-Fi,Third-Person,Sci-Fi,Shooter;;Jun 4, 2008
;;Aces of the Luftwaffe;;;May 8, 2015
8.8;;Aces Wild: Manic Brawling Action!;;;Jan 31, 2014
8.0;;Achron;;54;Aug 29, 2011
8.2;;Achtung Panzer: Kharkov 1943;;70;Feb 25, 2010
;Avalon Hill;Achtung! Spitfire;Strategy,Real-Time,General,Historic;;Aug 31, 1997
;;Acidbomb 2: Rearmed;;;Feb 12, 2007
;;Acropolis: Build and Rule Ancient Greece;;;Sep 29, 2001
;;Across the Dnepr: Second Edition;;;Apr 5, 2010
6.9;;Act of Aggression;;70;Sep 2, 2015
8.4;Atari;Act of War: Direct Action;Strategy,Real-Time,Military,Military;82;Mar 15, 2005
8.0;Atari;Act of War: High Treason;Strategy,Real-Time,Military,Military;74;May 30, 2006
7.6;;Action Henk;;74;May 11, 2015
;;Action Man: Raid on Island X;;;Aug 30, 2000
;;Actua Golf 3;;;Aug 31, 2015
;;Actua Soccer 3;;;May 2, 2014
7.4;;Actual Sunlight;;77;Jan 3, 2013
;;Adam's Venture Chronicles;;;Aug 3, 2015
7.8;;Adam's Venture Episode 2: Solomon's Secret;;;Jul 2, 2012
8.1;;Adam's Venture Episode 3: Revelations;;;Mar 9, 2012
6.3;;Adam's Venture: The Search for the Lost Garden;;52;Oct 2, 2009
;;ADDICT;;;Mar 1, 2013
;Atari;Addiction Pinball;Miscellaneous,Parlor,Pinball,Pinball;;Apr 30, 1998
;Microsoft Game Studios;Adera;Miscellaneous,HiddenObject,Puzzle,Puzzle;;Oct 26, 2012
;;Adiboo's Magical Wonderland;;;Sep 12, 1999
;;Admiral Nemo;;;Sep 8, 2014
;Megamedia;Admiral Sea Battles;Strategy,General;;Sep 30, 1996
;;Adorables;;;Jul 26, 2014
;;Adrenix;;;Apr 28, 1998
7.3;DreamCatcher Interactive;Advanced Battlegrounds: The Future of Combat;Action,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter;;Dec 27, 2004
;;Advanced Dungeons & Dragons: Iron & Blood;;;Jan 7, 1997
;;Advanced Tactics: Gold;;;Apr 12, 2011
;;Advanced Tactics: World War II;;;Oct 26, 2007
;;Advantage Math;;;Jul 25, 2013
;;Advent;;;May 15, 2015
8.8;Majesco Games, Majesco;Advent Rising;ActionAdventure,Sci-Fi,Sci-Fi,General;70;Aug 9, 2005
;;Adventure 4 Pack;;;Jun 13, 2011
;;Adventure Apes and the Mayan Mystery;;;Sep 17, 2012
5.5;;AdVenture Capitalist;;;Mar 30, 2015
;;Adventure Chronicles;;;Jan 29, 2009
;;Adventure Chronicles: The Search for Lost Treasure;;;Apr 29, 2014
;;Adventure in the Tower of Flight;;;Jul 3, 2015
;;Adventure Inlay;;;Jan 1, 2008
;;ADventure Lib;;;Aug 4, 2015
4.1;Bit Composer;Adventure Park;Simulation,General,General;49;Nov 8, 2013
7.0;Electronic Arts;Adventure Pinball: Forgotten Island;Miscellaneous,Parlor,Pinball,Pinball;60;Mar 21, 2001
5.3;;Adventure Time: Explore the Dungeon Because I DON'T KNOW!;;;Nov 19, 2013
6.9;;Adventure Time: Finn and Jake's Epic Quest;;;Apr 11, 2014
;;Adventure Time: The Secret of the Nameless Kingdom;;;Nov 18, 2014
;;Adventure's Maze;;;Apr 30, 2015
;Got Game Entertainment;Adventure: Collector's Edition (Volume 1);Miscellaneous,Compilation;;Apr 20, 2009
8.0;;Adventurer Manager;;;Dec 4, 2014
;;Adventures of Bertram Fiddle: Episode 1: A Dreadly Business;;;Apr 2, 2015
